ID,Player Name,Position,Team,Salary,DK-Avg-Pts,FantasyProsProj,,,,,Name,Position,Salary,GameInfo,AvgPointsPerGame
174,Gavin Escobar,TE,DAL,3400,4.188,3.1,,,,,Geno Smith,QB,5100,NYJ@KC 01:00PM ET,11.713
175,Geno Smith,QB,NYJ,5100,11.713,3.8,,,,,Giants,DST,2600,Ind@NYG 08:30PM ET,5.571
176,Giovani Bernard,RB,CIN,6600,16.786,14.5,,,,,Giovani Bernard,RB,6600,Jax@Cin 01:00PM ET,16.786
177,Greg Jenkins,WR,OAK,3000,0,0,,,,,Glenn Winston,RB,3000,TB@Cle 01:00PM ET,0
178,Greg Jennings,WR,MIN,3800,9.913,6,,,,,Greg Jennings,WR,3800,Was@Min 01:00PM ET,9.913
179,Greg Jones,RB,NO,3800,9.913,0,,,,,Greg Little,WR,3100,Jax@Cin 01:00PM ET,4.75
180,Greg Little,WR,CIN,3100,4.75,1.6,,,,,Greg Olsen,TE,6000,NO@Car 08:25PM ET,15.738
181,Greg Olsen,TE,CAR,6000,15.738,10.2,,,,,Greg Salas,WR,3000,NYJ@KC 01:00PM ET,4.117
182,Greg Salas,WR,NYJ,3000,4.117,0,,,,,Griff Whalen,WR,3000,Ind@NYG 08:30PM ET,0.413
183,Griff Whalen,WR,IND,3000,0.413,0,,,,,Hakeem Nicks,WR,3000,Ind@NYG 08:30PM ET,5.85
184,Hakeem Nicks,WR,IND,3000,5.85,3.9,,,,,Harold Hoskins,TE,3000,SD@Mia 01:00PM ET,0.425
185,Heath Miller,TE,PIT,4300,10.838,5.5,,,,,Heath Miller,TE,4300,Bal@Pit 08:30PM ET,10.838
186,Henry Hynoski,RB,NYG,3000,0.014,0,,,,,Henry Hynoski,RB,3000,Ind@NYG 08:30PM ET,0.014
187,Isaiah Burse,WR,DEN,3000,0,0,,,,,Isaiah Burse,WR,3000,Den@NE 04:25PM ET,0
188,Isaiah Crowell,RB,CLE,3000,7.6,3.5,,,,,Isaiah Crowell,RB,3000,TB@Cle 01:00PM ET,7.6
189,Jace Amaro,TE,NYJ,4100,8.313,4.8,,,,,Jace Amaro,TE,4100,NYJ@KC 01:00PM ET,8.313
190,Jack Doyle,TE,IND,3000,2.6,0.8,,,,,Jack Doyle,TE,3000,Ind@NYG 08:30PM ET,2.6
191,Jacob Tamme,TE,DEN,3000,3.1,1.1,,,,,Jacob Tamme,TE,3000,Den@NE 04:25PM ET,3.1
192,Jacoby Jones,WR,BAL,3000,0.9,-0.2,,,,,Jacoby Jones,WR,3000,Bal@Pit 08:30PM ET,0.9
193,Jamaal Charles,RB,KC,7100,16.2,17.4,,,,,Jaguars,DST,2700,Jax@Cin 01:00PM ET,5.5
194,James Casey,TE,PHI,3000,1.786,0.1,,,,,Jamaal Charles,RB,7100,NYJ@KC 01:00PM ET,16.2
195,James Develin,RB,NE,3000,0.938,-0.4,,,,,James Casey,TE,3000,Phi@Hou 01:00PM ET,1.786
196,James Hanna,TE,DAL,3000,0.213,0.7,,,,,James Develin,RB,3000,Den@NE 04:25PM ET,0.938
197,James Jones,WR,OAK,4500,14.071,8.2,,,,,James Hanna,TE,3000,Ari@Dal 01:00PM ET,0.213
198,James White,RB,NE,3000,4.15,0.3,,,,,James Jones,WR,4500,Oak@Sea 04:25PM ET,14.071
199,James Wright,WR,CIN,3000,0.567,0.4,,,,,James White,RB,3000,Den@NE 04:25PM ET,4.15
200,Jamize Olawale,RB,OAK,3000,0.657,0.2,,,,,James Wright,WR,3000,Jax@Cin 01:00PM ET,0.567
201,Jared Cook,TE,STL,3000,8.586,6.5,,,,,Jamize Olawale,RB,3000,Oak@Sea 04:25PM ET,0.657
202,Jarius Wright,WR,MIN,3100,7.15,4.1,,,,,Jared Cook,TE,3000,StL@SF 04:05PM ET,8.586
203,Jaron Brown,WR,ARI,3000,0.743,0.7,,,,,Jarius Wright,WR,3100,Was@Min 01:00PM ET,7.15
204,Jarvis Landry,WR,MIA,3400,7.843,5.9,,,,,Jaron Brown,WR,3000,Ari@Dal 01:00PM ET,0.743
205,Jason Avant,WR,CAR,3000,5.45,2.8,,,,,Jarvis Landry,WR,3400,SD@Mia 01:00PM ET,7.843
206,Jason Campbell,QB,CIN,5000,0.84,0,,,,,Jason Avant,WR,3000,NO@Car 08:25PM ET,5.45
