Pid,Pn,Name,S,Team,Or,Ppg,Projected,Home,Last 10 Days,Archive PPG,C,W,D,G
653290,RW,J.T. Brown,"2,500.00",,28.00,1.10,5.28,TRUE,,1.1,FALSE,TRUE,FALSE,FALSE
170782,C,Daniel Briere,"3,800.00",,8.00,1.80,5.28,FALSE,,1.8,TRUE,FALSE,FALSE,FALSE
504303,D,Tim Erixon,"2,500.00",,20.00,1.60,5.28,FALSE,,1.6,FALSE,FALSE,TRUE,FALSE
392946,D,Karl Alzner,"2,500.00",,21.00,1.60,5.27,FALSE,,1.6,FALSE,FALSE,TRUE,FALSE
504287,D,Dmitry Kulikov,"3,200.00",,24.00,1.60,5.27,TRUE,,1.6,FALSE,FALSE,TRUE,FALSE
600125,D,Joseph Morrow,"2,700.00",,25.00,1.60,5.27,FALSE,,1.6,FALSE,FALSE,TRUE,FALSE
504290,C,Peter Holland,"2,800.00",,19.00,1.80,5.27,TRUE,,1.8,TRUE,FALSE,FALSE,FALSE
177995,C,Chris Kelly,"2,800.00",,23.00,1.80,5.27,FALSE,,1.8,TRUE,FALSE,FALSE,FALSE
170456,C,Patrik Elias,"3,500.00",,24.00,1.80,5.26,FALSE,,1.8,TRUE,FALSE,FALSE,FALSE
172089,C,Jarret Stoll,"3,300.00",,25.00,1.80,5.26,FALSE,,1.8,TRUE,FALSE,FALSE,FALSE
339758,LW,Cody McLeod,"2,500.00",,11.00,1.00,5.26,FALSE,,1,FALSE,TRUE,FALSE,FALSE
741407,D,Seth Jones,"3,000.00",,2.00,1.50,5.26,TRUE,,1.5,FALSE,FALSE,TRUE,FALSE
595927,D,Mattias Ekholm,"2,500.00",,2.00,1.50,5.26,TRUE,,1.5,FALSE,FALSE,TRUE,FALSE
170627,RW,Daniel Cleary,"2,700.00",,21.00,1.00,5.25,TRUE,,1,FALSE,TRUE,FALSE,FALSE
479603,D,Jason Demers,"3,200.00",,7.00,1.50,5.25,FALSE,,1.5,FALSE,FALSE,TRUE,FALSE
501534,D,Jordie Benn,"2,500.00",,7.00,1.50,5.25,FALSE,,1.5,FALSE,FALSE,TRUE,FALSE
790352,RW,Barclay Goodrow,"2,500.00",,24.00,1.00,5.25,TRUE,,1,FALSE,TRUE,FALSE,FALSE
447294,D,Nick Holden,"2,800.00",,10.00,1.50,5.25,FALSE,,1.5,FALSE,FALSE,TRUE,FALSE
184285,D,Nate Guenin,"2,600.00",,10.00,1.50,5.25,FALSE,,1.5,FALSE,FALSE,TRUE,FALSE
400976,D,Mike Weber,"2,600.00",,10.00,1.50,5.25,FALSE,,1.5,FALSE,FALSE,TRUE,FALSE
555764,LW,Michael Ferland,"2,500.00",,25.00,1.00,5.25,TRUE,,1,FALSE,TRUE,FALSE,FALSE
600108,LW,Sven Baertschi,"2,500.00",,25.00,1.00,5.25,TRUE,,1,FALSE,TRUE,FALSE,FALSE
171136,C,Shawn Horcoff,"2,600.00",,6.00,1.70,5.25,FALSE,,1.7,TRUE,FALSE,FALSE,FALSE
171036,D,Barret Jackman,"2,500.00",,13.00,1.50,5.25,FALSE,,1.5,FALSE,FALSE,TRUE,FALSE
543483,D,Patrick Wiercioch,"2,900.00",,14.00,1.50,5.25,TRUE,,1.5,FALSE,FALSE,TRUE,FALSE
170561,D,Chris Phillips,"2,500.00",,14.00,1.50,5.25,TRUE,,1.5,FALSE,FALSE,TRUE,FALSE
