ID,Pos,Name,Sal,Team,OR,FPPG,Projected
528331,C,Cody Eakin,"4,250",DAL,3.00,2.15,1.72
600098,C,Mark Scheifele,"4,200",WPG,14.00,1.68,1.68
550771,C,Riley Sheahan,"3,700",DET,13.00,1.65,1.65
563202,C,Mark Letestu,"3,900",CBJ,2.00,2.06,1.648
296053,C,Brad Richardson,"3,900",VAN,30.00,1.07,1.498
330094,C,Paul Stastny,"4,550",STL,18.00,1.38,1.38
741408,C,Elias Lindholm,"3,850",CAR,8.00,1.65,1.32
377663,C,Shawn Matthias,"3,150",VAN,30.00,0.93,1.302
395980,C,Artem Anisimov,"4,100",CBJ,15.00,1.3,1.3
177995,C,Chris Kelly,"4,000",BOS,7.00,1.51,1.208
593803,C,Mark Arcobello,"3,550",EDM,1.00,1.44,1.152
172229,C,Boyd Gordon,"3,250",EDM,1.00,1.39,1.112
269235,C,Travis Zajac,"4,050",NJ,9.00,1.38,1.104
741449,C,Curtis Lazar,"3,100",OTT,5.00,1.34,1.072
593929,C,Brian Gibbons,"3,800",CBJ,15.00,1.05,1.05
447273,C,Mathieu Perreault,"3,750",WPG,14.00,1.03,1.03
653311,C,Brian Flynn,"3,250",BUF,12.00,1.02,1.02
171136,C,Shawn Horcoff,"3,400",DAL,3.00,1.23,0.984
656728,C,Luke Glendening,"3,500",DET,13.00,0.98,0.98
172464,C,Vernon Fiddler,"3,650",DAL,3.00,1.19,0.952
329659,C,Patrik Berglund,"3,700",STL,18.00,0.92,0.92
171391,C,Derek MacKenzie,"3,550",FLA,17.00,0.89,0.89
379101,C,Torrey Mitchell,"3,250",BUF,19.00,0.86,0.86
600082,C,Mika Zibanejad,"3,600",OTT,5.00,1.07,0.856
395427,C,Matt Hendricks,"3,150",EDM,10.00,1.05,0.84
170839,C,David Legwand,"3,900",OTT,5.00,1.04,0.832
184271,C,Joakim Lindstrom,"3,600",STL,18.00,0.82,0.82
235441,C,Maxim Lapierre,"3,250",STL,18.00,0.79,0.79
184276,C,Gregory Campbell,"3,500",BOS,7.00,0.96,0.768
451925,C,Stephen Gionta,"3,700",NJ,9.00,0.95,0.76
741405,C,Aleksander Barkov,"3,700",FLA,17.00,0.75,0.75
607590,C,Victor Rask,"3,450",CAR,8.00,0.93,0.744
831068,C,Leon Draisaitl,"3,550",EDM,1.00,0.83,0.664
597141,C,Andrej Nestrasil,"3,500",CAR,8.00,0.8,0.64
490373,C,Colton Sceviour,"3,500",DAL,3.00,0.79,0.632
178282,C,Jay McClement,"3,500",CAR,8.00,0.78,0.624
170801,C,Manny Malhotra,"3,000",MTL,28.00,0.44,0.616
497014,C,Joakim Andersson,"3,500",DET,13.00,0.61,0.61
178004,C,Marcel Goc,"3,450",PIT,21.00,0.5,0.6
607959,C,Adam Lowry,"3,000",WPG,7.00,0.7,0.56
455701,C,Zack Smith,"3,500",OTT,5.00,0.7,0.56
504300,C,Jacob Josefson,"3,100",NJ,9.00,0.67,0.536
172467,C,Cody McCormick,"3,000",BUF,12.00,0.46,0.46
339752,C,Dave Bolland,"3,500",FLA,13.00,0.31,0.31
456702,C,Cody Hodgson,"3,750",BUF,12.00,0.28,0.28
172140,C,Jim Slater,"3,000",WPG,14.00,0.23,0.23
521555,C,Zach Sill,"3,000",PIT,21.00,0.18,0.216
409789,C,Will Acton,"3,000",VAN,11.00,0.08,0.08
594397,C,Brad Malone,"3,000",CAR,8.00,0.02,0.016
483697,C,Brandon Dubinsky,"4,450",CBJ,7.00,0,0
693364,C,Jayson Megna,"3,000",PIT,12.00,0,0
172369,C,Jordan Staal,"3,900",CAR,5.00,0,0
170801,C,Marc Savard,"3,500",BOS,28.00,0,0
230685,C,Patrice Cormier,"3,500",WPG,7.00,0,0
263094,C,Rich Peverley,"4,000",DAL,8.00,0,0
568698,D,Jared Spurgeon,"4,350",MIN,29.00,2.89,4.046
392955,D,Kevin Shattenkirk,"5,000",STL,26.00,2.87,4.018
339745,D,Kris Letang,"5,300",PIT,22.00,3.15,3.78
456827,D,Erik Karlsson,"5,500",OTT,23.00,3.03,3.636
229371,D,Ryan Suter,"4,800",MIN,29.00,2.36,3.304
555748,D,John Klingberg,"3,000",DAL,3.00,3.96,3.168
496081,D,Marco Scandella,"3,400",MIN,29.00,1.99,2.786
456627,D,Alex Pietrangelo,"4,750",STL,26.00,1.97,2.758
330091,D,Alexander Edler,"4,000",VAN,25.00,2.25,2.7
831066,D,Aaron Ekblad,"3,750",FLA,27.00,1.91,2.674
478197,D,P.K. Subban,"5,250",MTL,19.00,2.27,2.27
554484,D,Justin Faulk,"3,700",CAR,13.00,2.22,2.22
521554,D,Robert Bortuzzo,"3,000",PIT,22.00,1.79,2.148
600102,D,Dougie Hamilton,"4,500",BOS,12.00,2.13,2.13
499847,D,Carl Gunnarsson,"3,250",STL,26.00,1.52,2.128
170944,D,Brian Campbell,"3,700",FLA,27.00,1.51,2.114
