Pid,Pn,Name,S,Team,Or,Ppg,Ppg-Last 10,Projected,Projected-Last 10,Difference,Value,Streak,Back2Back,Home,Last 10,vsBackup,isStarting,isStarter,goalieBack2Back,Ppg-Archive,Tid,Htid,Atid,Htabbr,Atabbr,Posid,Isdisabledfromdrafting,Exceptionalmessages,Swp,Pp,I,News
229384,D,Brent Burns,"6,200.00",SJ,27.00,3.90,2.90,4.68,3.87,-0.81,0.7548387097,4,TRUE,FALSE,,,,,,3.9,4971,4959,4971,Edm,SJ,94,,,true,,DTD,2
450848,LW,Matt Beleskey,"4,600.00",Anh,22.00,3.10,3.50,3.41,3.85,0.44,0.7413043478,3,,FALSE,,,,,,3.1,4978,4981,4978,Wpg,Anh,92,,,true,,DTD,2
597137,D,Sami Vatanen,"4,800.00",Anh,9.00,3.50,3.80,3.5,3.8,0.3,0.7291666667,3,,FALSE,TRUE,,,,,3.5,4978,4981,4978,Wpg,Anh,94,,,true,,DTD,2
172223,G,Cam Ward,"7,200.00",Car,6.00,4.20,4.80,5.145,3.78,-1.365,0.7145833333,-1,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,4.2,4960,4960,4958,Car,Det,95,,,true,,DTD,2
659862,LW,Tomas Hertl,"4,500.00",SJ,28.00,2.10,2.90,2.52,3.69,1.17,0.56,4,TRUE,FALSE,,,,,,2.1,4971,4959,4971,Edm,SJ,92,,,true,,DTD,2
556379,G,Frederik Andersen,"7,600.00",Anh,26.00,4.50,3.70,6.3,3.54,-2.76,0.8289473684,3,,FALSE,,,TRUE,TRUE,,4.5,4978,4981,4978,Wpg,Anh,95,,,true,,DTD,2
555795,G,Petr Mrazek,"6,600.00",Det,28.00,4.40,4.40,5.28,3.52,-1.76,0.8,2,FALSE,FALSE,,,TRUE,,,4.4,4958,4960,4958,Car,Det,95,,,true,,DTD,2
550751,LW,Taylor Hall,"7,400.00",Edm,20.00,3.90,3.50,4.7775,3.5075,-1.27,0.6456081081,-11,,TRUE,,TRUE,,,,3.9,4959,4959,4971,Edm,SJ,92,,,true,,DTD,2
659853,D,Jacob Trouba,"5,600.00",Wpg,18.00,2.90,3.60,3.19,3.38,0.19,0.5696428571,2,,TRUE,,,,,,2.9,4981,4981,4978,Wpg,Anh,94,,,true,,DTD,2
542700,D,Jeff Petry,"3,400.00",Edm,25.00,2.00,2.80,2.65,3.31,0.66,0.7794117647,-11,,TRUE,,TRUE,,,,2.0,4959,4959,4971,Edm,SJ,94,,,true,,DTD,2
